SIZE,AVERAGE,BEST,WORST
507,3634,3920,3229
414,2835,3103,2552
400,2712,2973,2423
15,31,38,25
82,383,421,320
912,7299,7849,6589
353,2344,2558,2068
237,1411,1572,1250
855,6723,7298,6111
65,278,308,234
602,4397,4837,4002
432,3001,3253,2667
347,2279,2518,2035
719,5484,5980,4965
845,6622,7202,6088
516,3705,4003,3293
517,3667,4010,3326
411,2816,3070,2493
629,4675,5100,4216
664,5011,5429,4495
963,7743,8348,7011
267,1647,1816,1469
816,6354,6909,5761
916,7318,7889,6657
38,131,151,106
883,6967,7562,6343
480,3375,3677,3019
101,480,548,416
264,1623,1783,1443
418,2843,3139,2558
611,4491,4920,4071
469,3295,3586,2954
277,1729,1904,1532
369,2448,2702,2200
764,5881,6411,5347
463,3243,3530,2919
440,3033,3323,2725
417,2874,3118,2550
643,4789,5234,4335
959,7698,8304,6999
335,2212,2416,1951
553,3979,4342,3588
732,5620,6097,5075
952,7588,8227,6945
859,6760,7328,6143
456,3174,3463,2853
730,5589,6081,5032
290,1807,2019,1616
987,7942,8574,7223
306,1963,2161,1748
728,5562,6061,5003
488,3444,3747,3089
537,3850,4188,3464
452,3159,3431,2811
468,3245,3573,2945
992,8036,8631,7247
785,6113,6620,5506
442,3081,3349,2740
931,7439,8034,6757
78,357,395,300
820,6424,6947,5787
170,943,1059,820
57,230,258,192
621,4616,5018,4170
874,6950,7475,6256
136,699,795,629
39,126,156,111
787,6135,6644,5513
179,999,1126,887
663,4971,5428,4489
363,2400,2660,2143
352,2359,2553,2075
204,1187,1317,1045
645,4841,5258,4358
93,435,494,374
144,773,853,671
811,6336,6864,5713
847,6679,7222,6047
398,2696,2961,2408
433,2997,3260,2672
731,5606,6086,5047
660,4950,5401,4459
922,7380,7943,6682
566,4120,4489,3738
443,3079,3354,2737
251,1518,1682,1357
799,6255,6754,5623
384,2590,2827,2303
143,750,850,661
593,4383,4750,3934
431,2966,3252,2669
673,5062,5520,4584
715,5465,5934,4917
215,1265,1404,1127
909,7232,7822,6648
656,4916,5355,4423
176,971,1099,857
377,2508,2778,2256
73,322,360,268
563,4097,4448,3695
556,4055,4389,3623
35,113,134,97
932,7432,8047,6781
885,7033,7590,6394
302,1906,2125,1712
356,2350,2603,2099
201,1164,1294,1024
370,2479,2721,2218
16,39,43,27
962,7744,8337,7024
520,3734,4023,3315
782,6048,6593,5492
20,56,61,43
809,6290,6832,5728
545,3934,4270,3534
668,5049,5473,4537
311,1993,2204,1775
88,403,455,355
154,838,937,724
880,6964,7537,6305
634,4741,5147,4242
291,1806,2024,1631
323,2099,2306,1853
160,892,977,769
658,4931,5385,4438
375,2501,2764,2243
612,4546,4937,4063
998,8062,8697,7334
243,1467,1620,1299
40,141,163,115
298,1912,2087,1684
14,26,35,22
187,1071,1188,943
783,6079,6608,5487
449,3106,3402,2788
157,860,956,740
424,2904,3185,2605
218,1293,1431,1126
599,4472,4806,3975
854,6713,7293,6084
651,4886,5306,4397
70,304,341,256
976,7856,8479,7115
174,981,1089,848
185,1057,1168,926
945,7618,8168,6918
45,165,188,140
609,4518,4904,4058
597,4375,4786,3966
33,109,122,86
806,6269,6823,5672
717,5466,5956,4970
533,3858,4170,3446
491,3519,3776,3125
17,38,48,30
580,4231,4617,3811
247,1500,1650,1329
475,3324,3638,2997
164,919,1011,791
693,5214,5722,4778
244,1473,1631,1303
312,2003,2205,1783
22,65,71,48
617,4572,4964,4114
168,939,1041,811
997,8084,8676,7360
195,1129,1246,987
954,7680,8255,6946
985,7940,8556,7252
694,5255,5737,4744
390,2630,2893,2354
284,1797,1961,1589
751,5805,6292,5227
506,3587,3907,3246
915,7323,7880,6617
552,3990,4339,3579
441,3040,3332,2714
207,1217,1344,1075
412,2831,3083,2493
648,4816,5271,4371
819,6395,6936,5783
46,175,197,140
98,474,531,402
910,7237,7831,6592
116,583,649,503
794,6175,6709,5568
44,157,185,137
241,1447,1602,1286
740,5677,6171,5121
7,10,10,5
274,1692,1877,1510
630,4713,5115,4224
970,7817,8419,7104
366,2462,2691,2194
205,1197,1328,1052
975,7826,8470,7135
765,5898,6420,5404
501,3548,3862,3198
757,5817,6340,5330
318,2039,2269,1834
876,6968,7501,6269
896,7138,7697,6445
282,1788,1947,1570
313,1991,2216,1788
461,3187,3516,2888
526,3783,4105,3396
704,5376,5827,4831
235,1433,1558,1253
28,88,97,69
796,6200,6729,5599
804,6292,6801,5657
63,253,294,225
42,150,173,130
150,813,905,700
924,7341,7957,6711
397,2688,2958,2380
835,6488,7098,5935
866,6887,7397,6208
493,3521,3796,3126
158,861,963,758
404,2747,3009,2441
605,4469,4866,4032
200,1149,1289,1007
416,2849,3111,2541
833,6496,7082,5928
676,5101,5553,4589
437,2999,3308,2696
635,4719,5148,4267
871,6860,7448,6241
568,4135,4487,3725
226,1358,1489,1190
544,3918,4261,3521
990,8010,8609,7292
427,2932,3214,2627
888,7018,7601,6351
980,7874,8519,7189
499,3532,3850,3177
690,5194,5689,4714
423,2922,3182,2595
920,7324,7917,6649
258,1583,1737,1392
359,2390,2628,2109
742,5671,6205,5158
857,6748,7304,6136
892,7091,7657,6425
124,631,701,553
478,3357,3661,3048
981,7887,8526,7226
383,2587,2830,2301
753,5837,6304,5262
894,7105,7671,6456
402,2734,2997,2440
364,2454,2669,2163
260,1602,1755,1415
223,1325,1468,1177
830,6507,7049,5896
482,3380,3697,3050
18,40,53,34
391,2660,2896,2351
310,1963,2197,1782
928,7406,8003,6731
74,318,369,276
817,6407,6922,5802
289,1816,2000,1610
281,1755,1936,1562
436,2999,3293,2681
458,3225,3483,2876
672,5062,5515,4563
336,2210,2417,1957
697,5300,5754,4780
939,7560,8114,6833
343,2271,2486,1995
974,7838,8455,7142
795,6204,6718,5579
942,7558,8139,6884
467,3294,3568,2933
389,2630,2888,2336
126,639,719,556
189,1071,1202,954
388,2604,2875,2327
413,2833,3092,2512
