SIZE,AVERAGE,BEST,WORST
695,120980,694,241165
709,121354,708,250986
514,67651,513,131841
811,162432,810,328455
982,236750,981,481671
199,9521,198,19701
630,95315,629,198135
478,57145,477,114003
338,29449,337,56953
56,777,55,1540
90,2284,89,4005
975,239611,974,474825
341,28026,340,57970
177,8096,176,15576
316,23950,315,49770
978,240234,977,477753
180,7980,179,16110
174,7492,173,15051
23,145,22,253
651,106038,650,211575
990,260448,989,489555
726,137371,725,263175
609,88957,608,185136
230,13085,229,26335
197,10654,196,19306
736,134517,735,270480
345,31141,344,59340
267,18182,266,35511
552,79524,551,152076
995,251169,994,494515
439,47671,438,96141
30,242,29,435
525,69151,524,137550
577,82612,576,166176
945,226687,944,446040
67,1248,66,2211
653,106492,652,212878
646,109396,645,208335
143,5066,142,10153
378,35453,377,71253
846,178497,845,357435
217,11457,216,23436
788,152665,787,310078
390,38100,389,75855
140,5105,139,9730
484,60537,483,116886
405,42242,404,81810
450,51142,449,101025
55,723,54,1485
22,105,21,231
34,319,33,561
299,22132,298,44551
738,135276,737,271953
407,41833,406,82621
931,224448,930,432915
805,164640,804,323610
770,150412,769,296065
590,86801,589,173755
574,79129,573,164451
36,317,35,630
808,162918,807,326028
193,10027,192,18528
477,59533,476,113526
755,139788,754,284635
906,216135,905,409965
853,180726,852,363378
304,23534,303,46056
106,3149,105,5565
228,13026,227,25878
411,41771,410,84255
599,95286,598,179101
311,23982,310,48205
56,756,55,1540
515,65656,514,132355
839,173298,838,351541
197,9602,196,19306
111,3175,110,6105
21,129,20,210
403,40494,402,81003
730,131459,729,266085
314,27373,313,49141
770,148450,769,296065
571,82596,570,162735
608,92408,607,184528
632,99069,631,199396
410,41785,409,83845
805,164518,804,323610
812,167777,811,329266
71,1216,70,2485
157,6443,156,12246
926,209710,925,428275
450,49533,449,101025
806,168459,805,324415
409,41728,408,83436
580,83187,579,167910
765,148765,764,292230
584,84409,583,170236
750,140135,749,280875
548,79939,547,149878
901,197933,900,405450
588,84346,587,172578
877,194658,876,384126
85,1796,84,3570
743,132284,742,275653
214,11484,213,22791
827,175338,826,341551
85,1960,84,3570
825,169158,824,339900
299,21678,298,44551
980,235518,979,479710
25,142,24,300
588,86685,587,172578
63,1137,62,1953
615,97060,614,188805
925,214858,924,427350
544,74871,543,147696
33,268,32,528
83,1752,82,3403
103,2484,102,5253
635,97782,634,201295
542,71677,541,146611
140,5420,139,9730
964,247666,963,464166
937,216788,936,438516
572,82436,571,163306
76,1536,75,2850
440,47827,439,96580
908,207046,907,411778
328,27974,327,53628
393,38038,392,77028
784,148308,783,306936
208,10847,207,21528
925,210175,924,427350
375,34617,374,70125
332,29372,331,54946
686,118234,685,234955
901,211299,900,405450
204,11049,203,20706
733,133950,732,268278
505,64243,504,127260
700,120746,699,244650
