SIZE,AVERAGE,BEST,WORST
455,3459,1950,2088
275,1889,1080,1158
666,5411,2989,3313
609,4861,2707,2968
48,211,128,144
639,5166,2872,3133
326,2315,1299,1449
829,6992,3882,4213
32,125,80,80
886,7567,4213,4509
156,948,540,608
334,2380,1333,1495
335,2394,1338,1500
47,206,123,142
920,7909,4412,4684
256,1728,1024,1024
244,1623,948,992
636,5118,2852,3120
793,6632,3688,4011
995,8648,4897,5024
268,1836,1056,1112
626,5004,2793,3069
774,6471,3603,3887
553,4341,2447,2612
883,7533,4193,4496
958,8278,4655,4859
746,6226,3431,3751
824,6935,3852,4188
413,3063,1725,1893
439,3336,1861,2017
897,7684,4291,4552
477,3623,2074,2184
31,118,75,79
212,1383,784,868
681,5570,3064,3403
686,5609,3091,3431
920,7940,4412,4684
784,6588,3648,3952
707,5832,3211,3542
269,1833,1059,1119
944,8106,4560,4800
578,4588,2565,2769
855,7231,4021,4360
587,4668,2599,2834
490,3786,2151,2237
630,5057,2815,3091
960,8281,4672,4864
180,1122,640,724
439,3306,1861,2017
959,8319,4663,4862
57,262,159,176
719,5922,3273,3612
753,6276,3477,3782
789,6616,3668,3987
436,3276,1844,2004
790,6611,3673,3993
65,308,193,199
235,1544,898,961
494,3807,2177,2251
896,7698,4288,4544
547,4311,2424,2569
76,381,224,256
3,3,2,3
684,5585,3080,3420
473,3611,2049,2169
933,8022,4489,4750
698,5716,3159,3495
409,3038,1704,1874
929,8007,4468,4727
52,235,140,160
165,1019,575,654
104,569,332,372
968,8396,4716,4908
421,3138,1764,1934
995,8679,4897,5024
163,1008,568,643
780,6556,3628,3928
256,1728,1024,1024
552,4335,2444,2604
682,5577,3069,3409
76,381,224,256
432,3254,1824,1984
418,3132,1751,1917
690,5620,3113,3453
955,8277,4632,4849
705,5803,3203,3528
525,4086,2339,2412
144,863,496,544
372,2710,1524,1684
872,7427,4124,4444
406,3005,1689,1859
454,3441,1945,2083
442,3330,1879,2029
251,1704,989,1014
900,7724,4304,4572
229,1516,868,937
949,8187,4590,4825
857,7290,4033,4370
609,4877,2707,2968
411,3065,1714,1884
799,6737,3721,4044
119,669,398,426
809,6827,3768,4107
95,515,298,334
777,6485,3615,3908
338,2439,1351,1517
348,2511,1400,1568
562,4449,2487,2671
485,3724,2121,2217
781,6553,3632,3935
229,1522,868,937
659,5363,2955,3270
961,8345,4676,4871
647,5247,2903,3190
900,7712,4304,4572
630,5082,2815,3091
469,3589,2025,2153
750,6253,3457,3769
628,5010,2804,3080
249,1663,977,1008
427,3209,1794,1964
588,4664,2604,2840
712,5866,3236,3572
755,6274,3489,3792
126,714,435,445
422,3149,1769,1939
369,2695,1508,1670
986,8567,4833,4989
309,2184,1220,1358
539,4233,2391,2514
45,199,115,136
596,4754,2640,2892
483,3694,2110,2208
9,20,13,16
692,5646,3124,3464
477,3661,2074,2184
953,8237,4618,4841
658,5351,2951,3263
886,7582,4213,4509
512,3976,2304,2304
873,7426,4129,4450
695,5680,3141,3480
773,6463,3599,3880
330,2360,1315,1473
434,3259,1833,1995
683,5576,3074,3415
358,2599,1449,1619
88,466,268,308
725,6005,3305,3646
64,309,192,192
577,4582,2562,2761
980,8496,4792,4964
752,6260,3472,3776
675,5492,3035,3366
537,4183,2383,2500
292,2029,1148,1260
248,1667,972,1004
894,7664,4271,4539
