SIZE,AVERAGE,BEST,WORST
232,2046,1746,2044
458,4022,4317,4180
131,981,967,1121
785,8202,8167,8321
19,56,74,62
14,40,38,36
84,454,482,514
304,2522,2350,2917
250,2138,1886,2209
630,6571,6464,6395
70,509,429,392
475,4504,4708,4441
183,1266,1372,1338
252,2039,1992,2130
169,1457,1305,1353
328,2994,2904,3057
617,6346,5949,6122
80,568,500,492
97,528,554,746
813,8547,7757,9123
495,4549,4581,4910
349,2998,3039,3313
286,2304,2508,2497
835,8812,9243,8610
18,51,54,51
697,7442,7130,6614
498,5313,4534,5132
634,6350,7667,6371
460,3949,4342,3986
248,1982,2388,2339
103,614,680,705
369,3541,3029,3183
418,3810,3348,3884
863,8862,8862,9599
600,5607,5845,6186
438,4152,3964,4197
422,3872,3980,4391
889,9061,9286,9479
285,2648,2463,2200
414,3628,3884,4488
879,8972,9529,8813
757,7310,7975,7752
772,7544,8755,8889
129,832,923,860
403,3505,4269,3533
453,4119,4040,4238
859,8281,10114,8707
457,3927,4729,4596
298,2371,2446,2778
732,7361,6935,7698
654,6165,6571,6129
760,8679,7784,8490
608,5937,6056,5992
523,4855,5267,5289
204,1814,1625,1626
502,4505,4910,4813
191,1565,1414,1602
749,8042,7537,7648
538,5129,5137,5385
34,163,136,144
17,55,54,73
313,2722,2519,3122
219,1649,1781,1638
132,1026,852,811
662,6701,6120,7738
387,3172,3410,3107
833,8630,9289,8830
747,8483,8571,7742
273,2288,2270,2301
44,209,182,260
435,4345,3950,4218
126,877,880,971
104,696,590,595
68,350,346,408
20,68,80,65
395,3574,3612,3562
393,3689,3508,3639
767,8540,8139,8559
590,5738,5400,5521
507,4925,4434,4583
398,3490,3367,3679
673,7064,7333,7305
144,1084,1223,1099
782,7820,7692,8515
162,1352,1067,1143
607,6379,6318,5971
165,1244,1082,1225
345,3164,3394,3253
46,209,314,224
176,1311,1342,1288
514,4790,5023,4897
658,6786,6554,6350
61,306,352,308
660,6726,6406,7409
292,2505,2969,2429
683,8566,6411,7737
83,461,510,469
727,8114,7209,7865
432,4157,4152,4144
412,4079,3483,3819
39,198,194,195
155,1237,1523,1178
775,7977,8384,8002
89,539,652,603
66,321,502,380
594,5368,5908,6415
613,6006,6248,6596
728,7575,8298,7308
206,1982,1496,1499
195,1447,1611,1396
135,902,890,1242
759,7871,7404,7540
598,6191,5485,5802
107,653,934,722
704,7377,7238,7051
323,3017,3164,2916
744,7724,7403,7723
257,2031,1993,2248
740,7358,8056,7725
864,8667,9912,9408
463,4549,4021,4390
343,3044,2983,3032
780,8086,8134,7862
712,7023,7515,7123
665,6471,6723,6489
190,1396,1557,1363
27,94,103,107
134,859,853,996
50,257,277,267
456,4392,4799,4024
795,7549,8836,7862
120,776,759,768
675,6773,6651,7530
142,921,948,937
715,7254,7196,6959
553,5458,5263,5209
288,2711,2447,2569
521,5000,4754,5216
582,5652,6190,6003
700,7388,7391,6798
440,3950,4338,4200
189,1487,1468,1337
145,920,1072,1137
374,3210,3406,3218
45,232,212,222
765,8848,7611,7384
729,7482,6904,7407
741,7924,7963,7242
180,1407,1326,1505
663,6642,6926,6516
58,309,340,289
172,1114,1338,1372
786,8036,7852,8066
38,180,167,212
113,760,741,771
127,828,936,1061
75,504,398,452
642,6425,6082,6385
717,7029,8433,7465
789,8243,8520,8056
838,9453,8761,8989
567,6379,5144,5619
787,7796,9050,8112
801,9353,7895,7727
186,1365,1498,1397
703,6874,7385,7879
122,800,910,930
575,5383,5754,5298
109,725,810,812
505,4721,4819,5325
490,4474,4382,4587
791,8008,8028,8512
290,2671,2390,2501
23,78,92,87
698,6931,6908,7028
67,368,320,359
530,5424,5119,5595
688,6869,6952,6789
525,5319,4982,5250
284,2403,2169,2267
94,596,671,652
581,5942,7051,5368
806,8270,8343,8632
146,1109,1153,1056
883,9687,9550,9486
489,4694,5101,4954
657,6384,7920,6201
730,7723,8143,7983
408,3721,3396,3937
21,80,84,85
130,920,1008,848
280,2483,2249,2167
436,4359,3768,3939
896,9907,9153,10717
560,5521,4963,5895
486,4572,4469,4800
733,7888,7613,7020
295,2655,2530,2785
431,4194,3949,3772
499,4334,5081,4274
259,2594,2031,2725
810,8525,8160,9137
237,2364,1965,1836
819,9309,9400,8092
569,6127,5755,5808
487,4399,5085,4446
531,4932,4840,5397
841,9256,9415,8840
624,5594,6566,6014
331,2695,2851,3049
725,7158,7653,8103
520,5243,5382,5314
43,219,231,226
861,10578,9176,9163
30,152,118,147
716,7872,7483,7351
702,7660,7965,7316
815,9339,8132,8642
175,1265,1187,1297
464,4649,4635,4729
108,665,728,665
592,5919,6121,5631
618,6279,5740,6197
79,436,520,423
821,8458,8018,8605
614,5903,6551,6258
807,8344,8944,8854
214,1610,1906,1656
41,225,199,226
102,610,758,870
558,6120,5093,5271
200,1513,1545,1395
73,414,415,425
557,5615,5808,5398
768,8036,8349,8557
138,891,890,1071
899,9721,9648,8847
241,1855,1942,1905
877,8815,9565,9356
49,266,233,251
799,7895,8291,8555
645,6237,6258,6666
411,3897,3879,4066
455,4625,4399,4010
840,8797,8101,8680
869,9690,10266,8704
631,5700,6727,6388
441,4462,4044,4502
239,1836,1842,2135
597,6584,5808,6500
402,4075,3804,4462
150,1027,991,944
316,3108,2562,2842
320,2769,2842,2973
450,4311,4078,4089
737,7618,7514,6956
602,5501,6392,5719
620,6054,6084,5989
147,1133,958,1041
680,7449,6662,7880
357,2863,3517,3317
236,1854,2188,1860
309,2482,2663,3032
599,5507,5803,6108
139,1029,1047,912
160,1306,1220,1175
593,6125,6050,5771
676,6781,6959,6226
399,4108,3461,3321
173,1156,1299,1142
639,7421,6388,7030
212,1704,1748,1672
310,2614,2765,2975
156,1143,1156,1116
153,1022,996,1007
756,7476,7340,8397
329,2671,2960,3287
641,6284,6451,7396
546,5258,5270,5303
638,6073,6669,6593
834,8588,8961,8941
93,644,646,576
653,6978,6741,7116
860,9229,8222,8909
849,9366,8521,9701
208,1486,1504,1602
571,5522,5664,5770
637,6372,6379,5753
790,9017,8330,8368
705,7677,6882,7463
875,8764,9390,9730
355,3207,3192,3026
576,5801,5633,5319
882,8856,9134,10506
824,9287,9214,8233
644,7307,6978,6508
305,2800,2775,2574
537,4946,5549,5525
152,1014,1175,1067
550,5252,5355,5000
268,2297,2210,2348
845,9599,8788,8405
774,7939,8073,8255
383,3338,3508,3284
427,3763,4035,3778
384,3428,3169,3876
584,5977,5673,5684
166,1125,1206,1302
585,5222,5485,5821
596,7037,5962,6757
623,6145,6289,6454
327,2701,2925,2593
466,4034,4441,4543
669,6797,7142,7206
65,423,341,320
690,7018,6494,7081
868,8748,8770,10239
72,377,413,421
595,5640,6178,5490
734,7180,8021,7701
389,3586,3345,4007
289,2426,2266,2379
148,1048,1104,1142
870,8450,9173,8789
626,5852,6056,6564
651,6374,6626,7061
518,5193,4978,4754
758,7381,8254,7749
